Columna 1,Latitud,Longitud
Arroyo Leyes,-31.5586336,-60.5205283
Cabal,-31.6638952,-60.7218969
Campo Andino,,
Candioti,-31.6390139,-60.6891063
Emilia,-33.747517,-61.9676859
Laguna Paiva,-31.9659442,-60.9228834
Llambi Campbell,-31.1863587,-60.745736
Monte Vera,-31.515654,-60.6782821
Nelson,-31.2674356,-60.7622376
Recreo,-31.4909067,-60.7354891
San José del Rincón,-31.6064264,-60.5674713
Santa Fe,-31.6474914,-60.6428557
Santo Tomé,-31.9746329,-60.9280461
Sauce Viejo,-31.7710276,-60.8372302
Colonia Cavour,,
Colonia San José,-31.655104,-60.85703
Cululú,,
Elisa,-30.683237,-61.100615
Empalme San Carlos,-31.5479541,-60.811818
Esperanza,-31.448994,-60.9304048
Felicia,-29.3633975,-60.2477496
Franck,-31.6374257,-60.9697353
Grutly,,
Hipatía,,
Humboldt,-32.8946516,-60.8588767
Ituzaingó,-30.7815092,-61.1750618
Jacinto L. Aráuz,-30.7342328,-60.9754026
La Pelada,-30.8663481,-60.9683813
Las Tunas,-32.9151323,-60.8584935
María Luisa,-31.0115486,-60.9199349
Matilde,-31.786787,-61.0183488
Nuevo Torino,-31.433362,-61.2585053
Pilar,-31.6431427,-60.7055573
Progreso,-33.0362082,-60.6113577
Providencia,,
Pujato Norte,-32.8821717,-60.7062573
Rivadavia,-31.5921707,-60.6882302
Sa Pereira,-32.3763404,-61.0913846
San Agustín,-31.5665897,-60.7520866
San Carlos Centro,-31.7265884,-61.090777
San Carlos Norte,-31.6221402,-61.0706722
San Carlos Sud,-31.7609584,-61.1006758
San Jerónimo del Sauce,-31.619821,-61.1402221
San Jerónimo Norte,-31.6198414,-61.092894
San Mariano,-31.6692408,-61.3480939
Santa Clara de Buena Vista,-31.7623445,-61.315749
Santa María Centro,-32.9662788,-60.721641
Santa María Norte,-32.4100396,-63.2443523
Santo Domingo,-31.5898576,-60.7403223
Sarmiento,-32.0230049,-61.2203953
Soutomayor,-31.4489069,-60.9287183
Esteban Rams,-29.7724193,-61.4899266
Gato Colorado,-28.0222759,-61.186544
Gregoria Pérez de Denis,-32.947629,-60.6318061
Juan de Garay,-32.9683905,-60.6793989
Logroño,-29.5038105,-61.6961816
Montefiore,-29.666667,-61.866667
Pozo Borrado,-28.9380061,-61.7052023
San Bernardo,-30.889253,-60.5740394
Santa Margarita,-32.0209423,-61.2152688
Tostado,-29.2323991,-61.7710504
Villa Minetti,-28.6021389,-61.6650062
Acebal,-33.2417179,-60.8365105
Albarellos,-33.2405944,-60.6364048
Álvarez,-33.1305513,-60.8021185
Alvear,-33.057523,-60.6196127
Arminda,-33.2637518,-60.96695
Arroyo Seco,-33.154614,-60.5082223
Carmen del Sauce,-33.235991,-60.811795
Coronel Bogado,-33.3156267,-60.6028608
Coronel Rodolfo S. Domínguez,-33.1835265,-60.7220645
Fighiera,-33.1937547,-60.469476
Funes,-32.9168704,-60.8105603
General Lagos,-33.1104302,-60.5637198
Granadero Baigorria,-32.8547765,-60.7074143
Ibarlucea,-32.8523641,-60.7893617
Pérez,-32.9982237,-60.7708529
Piñero,-33.1092111,-60.7966353
Pueblo Esther,-33.0788574,-60.5640762
Pueblo Muñoz,-33.1724748,-60.8968966
Pueblo Uranga,,
Rosario,-32.9593609,-60.6617024
Soldini,-33.0242175,-60.7553007
Villa Amelia,-33.1759838,-60.6641381
Villa Gobernador Gálvez,-33.0250796,-60.633744
Zavalla,-33.0185383,-60.8788584
Aguará Grande,,
Ambrosetti,-32.9313606,-60.7377669
Arrufó,-30.2335168,-61.731424
Capivara,-30.4595001,-61.272808
Ceres,-29.8819399,-61.9451954
Colonia Ana,13.9990907,-89.5505584
Colonia Bossi,-30.6681372,-61.7885766
Colonia Clara,-30.5554046,-61.0673966
Colonia Dos Rosas y La Legua,,
Colonia Rosa,-30.3009566,-61.9855467
Constanza,,
Curupaity,-30.3958863,-61.6509857
Hersilia,-30.0008702,-61.831678
Huanqueros,-30.0119642,-61.2185828
La Cabral,-30.0869216,-61.1783266
La Lucila,-30.4205582,-60.9995878
La Rubia,-32.8868067,-60.6872439
Las Avispas,-29.8959239,-61.2879367
Las Palmeras,-30.6290999,-61.6259068
Moisés Ville,-30.7155114,-61.469608
Monigotes,-30.4883586,-61.6340584
Monte Oscuridad,-30.4513929,-62.0944845
Ñanducita,-30.3699528,-61.1315461
Palacios,-30.7094368,-61.6221167
Portugalete,,
San Cristóbal,-30.311107,-61.2418955
San Guillermo,-32.8999251,-60.710782
Santurce,-30.1881081,-61.1851341
Soledad,20.0216092,-100.7194059
Suardi,-30.5360058,-61.9593778
Villa Saralegui,-30.5412066,-60.7483797
Villa Trinidad,-30.2155492,-61.8780747
Alejandra,-29.9091987,-59.82723
Cacique Ariacaiquín,,
Colonia Durán,-29.5607194,-59.9268521
La Brava,-31.6047834,-60.665563
Romang,-29.4995238,-59.747991
San Javier,-30.5815988,-59.9280841
Arocena,-32.0789121,-60.9756262
Barrancas,-32.234183,-60.9811677
Bernardo de Irigoyen,-32.1679854,-61.1574104
Campo Piaggio,-31.9666741,-61.3296663
